bigram,count,PMI
winston churchill,6,15.639237063059548
spinal meningitis,6,15.194452220386653
fuel pump,7,14.691704482953686
gary benson,7,14.572122867201012
would-be hero,5,14.501733539309614
charles grondin,7,14.387698296063585
per cent,10,14.317308968172187
strapping tape,5,14.153810235889308
las vegas,13,14.054274562338392
concentric circles,6,13.97627205033712
alan purinton,6,13.914344301193918
iced tea,8,13.831882141001945
record player,6,13.831882141001945
cash register,6,13.639237063059548
pressure gauge,5,13.639237063059548
jogging shorts,6,13.55177422180921
christ's sake,8,13.442839850256046
presidential suite,19,13.368839268812268
ski mask,6,13.317308968172187
fir needles,7,13.243651926446878
